"","prod_code","dep","div","prod_nm","cate","func_cate"
"1","0","¹ë·ùÅ¶","Body","1711 CO B/ROSE 1+1","Body","Body_Set"
"2","0","¹ë·ùÅ¶","Body","1711 CO AMH S/G SET","Body","Body_Set"
"3","0","Moisturize","Black Musk","BLACK MUSK B/L XMAS","Body","Body_Lotion"
"4","0","»çÀºÇ°","Requisites","FUJI G/T COND 60","Body","Body_Travelkit"
"5","0","Moisturize","Body","PINK/G PUREE NEW","Body","Body_Lotion"
"6","0","Soap","Body","PINK/G SOAP NEW","Body","Body_Soap"
"7","0","¹ë·ùÅ¶","Gift","1709 E CO AMH GIFT","Gift","Gift"
"8","0","Gift2(Kore","Gift","1801 GIFT MED LEAU'","Gift","Gift"
"9","0","¹ë·ùÅ¶","Gift","1804 E P/G 4 GIFT","Gift","Gift"
"10","0","Cleanser","Hair","BANANA SHAMPOO NEW","Hair","Hair_Shampoo"
"11","0","Moisturize","Hair","S/BERRY CONDITIONER1","Hair","Hair_Conditioner"
"12","0","Eye","Makeup","BROWN QUAD 8G 2016","Makeup","Makeup_Eye"
"13","0","Eye","Makeup","GOLD QUAD 8G 2016","Makeup","Makeup_Eye"
"14","0","Eye","Makeup","EYE STICK BRONZ","Makeup","Makeup_Eye"
"15","0","Eye","Makeup","EYE STICK GRANIT","Makeup","Makeup_Eye"
"16","0","Lip","Makeup","M/LIP LQD TAIPEI 20","Makeup","Makeup_Lipstic"
"17","0","Lip","Makeup","M/LIP LQD PEONY 22","Makeup","Makeup_Lipstic"
"18","0","Lip","Makeup","M/LIP LQD TOKYO/L 24","Makeup","Makeup_Lipstic"
"19","0","Lip","Makeup","M/LIP LQD G/MAGN 26","Makeup","Makeup_Lipstic"
"20","0","Lip","Makeup","M/LIP LQD CALI/G 10","Makeup","Makeup_Lipstic"
"21","0","Lip","Makeup","M/LIP LQD SYDN/AM 14","Makeup","Makeup_Lipstic"
"22","0","Lip","Makeup","M/LIP LQD TAHITI 16","Makeup","Makeup_Lipstic"
"23","0","Cleanser","Vitamin E","V/E GENT F/WSH NEW","Skin","Skin_Cleanser"
"24","0","Cleanser","Natural Skin Care","SEAWEED F WASH NEW","Skin","Skin_Cleanser"
"25","0","Moisturize","Natural Skin Care","SEAWEED GEL CREAM 50","Skin","Skin_Moisturize"
"26","0","Freshener","Roots of Strength","ROS ESSENCE","Skin","Skin_Mist"
